id	pole_id	standatcode	corrected_standatcode	abundance	form
2	926-392	2310050030090	2310050030090	0.1	0
3	903-392	2310050030090	2310050030090	0.01	0
4	907-393	2320650030000	2320650030000	1	0
5	931-389	2320650030000	2320650030000	0.01	0
6	903-394	2320650030000	2320650030000	0.01	0
7	925-396	2320650030000	2320650030000	0.01	0
10	905-395	2320650030150	2320650030150	0.01	0
24	909-391	2320650030210	2320650030210	0.1	0
25	908-390	2320650030210	2320650030210	1	0
26	906-391	2320650030210	2320650030210	2	0
27	928-401	2320650030210	2320650030210	0.01	0
28	909-390	2320650030210	2320650030210	0.01	0
67	903-397	2320650030300	2320650030300	0.1	0
68	921-398	2320650030300	2320650030300	0.1	0
69	927-390	2320650030300	2320650030300	0.1	0
70	931-385	2320650030300	2320650030300	0.1	0
71	920-389	2320650030300	2320650030300	0.1	0
72	920-390	2320650030300	2320650030300	1	0
73	923-396	2320650030300	2320650030300	1	0
74	926-394	2320650030300	2320650030300	1	0
75	928-385	2320650030300	2320650030300	1	0
76	925-386	2320650030300	2320650030300	1	0
77	921-389	2320650030300	2320650030300	5	0
78	907-391	2320650030300	2320650030300	0.01	0
79	922-387	2320650030300	2320650030300	0.01	0
80	907-395	2320650030300	2320650030300	0.01	0
81	925-384	2320650030300	2320650030300	0.01	0
82	933-385	2320650030300	2320650030300	0.01	0
83	910-392	2320650030300	2320650030300	0.01	0
84	905-391	2320650030300	2320650030300	0.01	0
384	903-388	2333050030030	2333050030030	0.1	0
385	903-389	2333050030030	2333050030030	0.1	0
386	903-394	2333050030030	2333050030030	0.1	0
387	904-387	2333050030030	2333050030030	0.1	0
388	904-388	2333050030030	2333050030030	0.1	0
389	904-392	2333050030030	2333050030030	0.1	0
390	905-386	2333050030030	2333050030030	0.1	0
391	905-390	2333050030030	2333050030030	0.1	0
392	906-386	2333050030030	2333050030030	0.1	0
393	906-388	2333050030030	2333050030030	0.1	0
394	906-391	2333050030030	2333050030030	0.1	0
395	906-392	2333050030030	2333050030030	0.1	0
396	906-396	2333050030030	2333050030030	0.1	0
397	906-397	2333050030030	2333050030030	0.1	0
398	907-388	2333050030030	2333050030030	0.1	0
399	907-391	2333050030030	2333050030030	0.1	0
400	908-390	2333050030030	2333050030030	0.1	0
401	908-395	2333050030030	2333050030030	0.1	0
402	908-398	2333050030030	2333050030030	0.1	0
403	908-399	2333050030030	2333050030030	0.1	0
404	909-388	2333050030030	2333050030030	0.1	0
405	909-389	2333050030030	2333050030030	0.1	0
406	909-390	2333050030030	2333050030030	0.1	0
407	909-393	2333050030030	2333050030030	0.1	0
408	910-389	2333050030030	2333050030030	0.1	0
409	910-391	2333050030030	2333050030030	0.1	0
410	910-394	2333050030030	2333050030030	0.1	0
411	910-398	2333050030030	2333050030030	0.1	0
412	911-390	2333050030030	2333050030030	0.1	0
413	911-394	2333050030030	2333050030030	0.1	0
414	911-396	2333050030030	2333050030030	0.1	0
415	914-394	2333050030030	2333050030030	0.1	0
416	921-391	2333050030030	2333050030030	0.1	0
417	923-387	2333050030030	2333050030030	0.1	0
418	923-388	2333050030030	2333050030030	0.1	0
419	925-392	2333050030030	2333050030030	0.1	0
420	925-396	2333050030030	2333050030030	0.1	0
421	926-388	2333050030030	2333050030030	0.1	0
422	927-388	2333050030030	2333050030030	0.1	0
423	927-398	2333050030030	2333050030030	0.1	0
424	928-392	2333050030030	2333050030030	0.1	0
425	929-387	2333050030030	2333050030030	0.1	0
426	930-385	2333050030030	2333050030030	0.1	0
427	930-389	2333050030030	2333050030030	0.1	0
428	931-386	2333050030030	2333050030030	0.1	0
429	931-387	2333050030030	2333050030030	0.1	0
430	931-388	2333050030030	2333050030030	0.1	0
431	932-388	2333050030030	2333050030030	0.1	0
432	904-397	2333050030030	2333050030030	0.1	0
433	905-391	2333050030030	2333050030030	0.1	0
434	907-387	2333050030030	2333050030030	0.1	0
435	907-390	2333050030030	2333050030030	0.1	0
436	907-398	2333050030030	2333050030030	0.1	0
437	908-397	2333050030030	2333050030030	0.1	0
438	909-387	2333050030030	2333050030030	0.1	0
439	911-397	2333050030030	2333050030030	0.1	0
440	928-384	2333050030030	2333050030030	0.1	0
441	932-390	2333050030030	2333050030030	0.1	0
442	903-396	2333050030030	2333050030030	1	0
443	905-387	2333050030030	2333050030030	1	0
444	906-398	2333050030030	2333050030030	1	0
445	907-393	2333050030030	2333050030030	1	0
446	907-396	2333050030030	2333050030030	1	0
447	908-392	2333050030030	2333050030030	1	0
448	908-393	2333050030030	2333050030030	1	0
449	909-395	2333050030030	2333050030030	1	0
450	909-398	2333050030030	2333050030030	1	0
451	910-388	2333050030030	2333050030030	1	0
452	910-397	2333050030030	2333050030030	1	0
453	912-388	2333050030030	2333050030030	1	0
454	913-394	2333050030030	2333050030030	1	0
455	925-394	2333050030030	2333050030030	1	0
456	926-393	2333050030030	2333050030030	1	0
457	930-390	2333050030030	2333050030030	1	0
458	930-391	2333050030030	2333050030030	1	0
459	903-395	2333050030030	2333050030030	1	0
460	904-393	2333050030030	2333050030030	1	0
461	904-396	2333050030030	2333050030030	1	0
462	925-387	2333050030030	2333050030030	1	0
463	932-386	2333050030030	2333050030030	1	0
464	933-386	2333050030030	2333050030030	2	0
465	910-387	2333050030030	2333050030030	0.01	0
466	926-385	2333050030030	2333050030030	0.01	0
467	907-389	2333050030030	2333050030030	0.01	0
468	905-396	2333050030030	2333050030030	0.01	0
469	926-384	2333050030030	2333050030030	0.01	0
470	927-389	2333050030030	2333050030030	0.01	0
471	905-397	2333050030030	2333050030030	0.01	0
472	921-392	2333050030030	2333050030030	0.01	0
473	902-392	2333050030030	2333050030030	0.01	0
474	909-397	2333050030030	2333050030030	0.01	0
475	925-384	2333050030030	2333050030030	0.01	0
476	927-392	2333050030030	2333050030030	0.01	0
477	905-393	2333050030030	2333050030030	0.01	0
478	910-392	2333050030030	2333050030030	0.01	0
479	931-392	2333050030030	2333050030030	0.01	0
480	910-393	2333050030030	2333050030030	0.01	0
481	933-385	2333050030030	2333050030030	0.01	0
482	927-394	2333050030030	2333050030030	0.01	0
483	910-396	2333050030030	2333050030030	0.01	0
484	907-399	2333050030030	2333050030030	0.01	0
